Κωδικός,Τίτλος,Πρωτότυπο,Κατάσταση μετατροπής,OCR,Σελίδες,Σελίδες χωρίς αναγνώσιμο κείμενο,Χαρακτήρες,Χρειάζεται περαιτέρω μετατροπή,Αιτίες,Ταυτότητα PDF
SRC-7EFBF9DA62,"A Review of Uncertainty Quantification in Deep Learning: Techniques, Applications and Challenges",originals/SRC-7EFBF9DA62.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,b4985fe670903c124d7d2703a7a30033d67b36a83c346f2b1945b8c6e57e44ad
SRC-B9111B3600,A Study of Genetic Algorithm in Evolving Agents for Autonomous Decision-Making in Dynamic Environmen,originals/SRC-B9111B3600.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,d8a74f69838e8c12602e753899a98f63e19b5e41ffcce9f9de4140d2421a4fa5
SRC-211B10ADBA,A Survey Analyzing Generalization in Deep Reinforcement Learning,originals/SRC-211B10ADBA.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,fa573a8b9fb835968f3f37d094900049d9f3fd5f89cd8f452f32cc498dc66b98
SRC-F909CABDEB,A Survey of Continual Reinforcement Learning,originals/SRC-F909CABDEB.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,a9fde2a094956cb07d5699a1d2ec9f66a089a6a81c8e0b41dfddaf48084440e0
SRC-DFFF269D33,A Survey of Multi-Agent Deep Reinforcement Learning with Communication,originals/SRC-DFFF269D33.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,c6ce2b40849ffcafa5309dee4714c3acd6014c7bbd39573b32b8755baa314836
SRC-60ECE049E6,A Survey of Reinforcement Learning For Economics,originals/SRC-60ECE049E6.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,ac0a23046e103618ea6b345934c022bf56307b2abcabf116dff69aa899b14bc6
SRC-BE5B937542,A Survey of Safe Reinforcement Learning and Constrained MDPs: A Technical Survey on Single-Agent and Multi-Agent Safety,originals/SRC-BE5B937542.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,7a20b570bcfc5dbce032559f394eb248827ae50abfa5ff8ea2b765f912fa3466
SRC-21EBE15D15,A Survey of Zero-shot Generalisation in Deep Reinforcement Learning,originals/SRC-21EBE15D15.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,55cf137243bca83d183f78068fe9ed2c920ff7b7707e517e6cbae70f2473d395
SRC-81A15E6905,Action Robust Reinforcement Learning and Applications in Continuous Control,originals/SRC-81A15E6905.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,47f741c42d92f0da949961c0cd052d9d5c483f17ad4fc6a6de59f6620d73d516
SRC-556A26CC39,"Active Learning for Autonomous Intelligent Agents: Exploration, Curiosity, and Interaction",originals/SRC-556A26CC39.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,57866918685b077f4d2f10ae085c67216d33f3420710aae65864c03551103857
SRC-8F1C2D6CE4,ADARL: Adaptive Low-Rank Structures for Robust Policy Learning under Uncertainty,originals/SRC-8F1C2D6CE4.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,6aec5c4eae56605d111c9e99c3ba8acf70e9d5a10cae4c379bbbb6c569be436e
SRC-98623817E7,Adversarial Machine Learning:,originals/SRC-98623817E7.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,4811fb6ad73f9c9121843ab77e029b5adc6f2c86d33c2fc5b2099ef133847646
SRC-798A4AFE7E,Agent AI for Finance,originals/SRC-798A4AFE7E.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,38e83c07ae7dc140636ba271070f57da961b79304822c71dad3bf8469e49f987
SRC-084A1BFD64,Agentic AI for Executives - Konverge AI,originals/SRC-084A1BFD64.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,6fd9d53c0642198549f12b2cdd554096cc04b49690c118014913be869d0934aa
SRC-8E6D76457D,"Agentic AI Frameworks: Architectures, Protocols, and Design Challenges",originals/SRC-8E6D76457D.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,36953fc7103f000311bc8c4f75d24a947fcb5232bd3140b3d0db60bd5ba18698
SRC-C7E22C59DE,AI Agents 101: An Introduction to Agents and Examples of How to Build Them,originals/SRC-C7E22C59DE.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,c7e22c59deb823be49b0e38cce88c1a0138bde94efd1e07331b87947aed2c52c
SRC-13CFB90F59,AI Agents in Action,originals/SRC-13CFB90F59.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,13cfb90f59eb5bcf625ed8b728e38c0749a81f0fc07930897a3399b0fc1e3834
SRC-83030D4158,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,originals/SRC-83030D4158.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,2a0e733e0709070c905b23cc57f0ea78f9a9320c6d8e69f82564c73f7aaba783
SRC-70A0C89F93,"AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges",originals/SRC-70A0C89F93.pdf,δεν-απαιτείται-λόγω-απόρριψης,δεν εκτελέστηκε,,,,όχι,Η canonical analysis έχει οριστική απόφαση απόρριψης· το PDF διατηρείται αρχειακά.,70a0c89f937f35af4e6af06dff86be7121f67882130d787bdf6cc0ff9730bba7
SRC-50C47991CC,"AI Agents: Evolution, Architecture, and Real-World Applications",originals/SRC-50C47991CC.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,8a0f44eaa4a529634597c23debddd6843a0b76862e927d9245f6e977cd9556ed
SRC-FE2C0A3E00,AI Safety Gridworlds,originals/SRC-FE2C0A3E00.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,fd2e714ff33586fc668b105846cbfd364dd1ce3f36708c924facc2ec9f4d8dd6
SRC-97A931D29F,ai-agents-by-google-pr 5002be8bb73fc77bf260555a6cad0942,originals/SRC-97A931D29F.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,f7bc17c0297d3967daf98aa1bab016ef494486336b61e3533d8358d4f3957257
SRC-F4B012F78F,An Economy of AI Agents,originals/SRC-F4B012F78F.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,603f62ede09f758267aca080b10d0a30cfc6beb1b40dc098aa4748cbf8e1eb67
SRC-CCCFFD4365,An Empirical Approach to Capture Moral Uncertainty in AI - Aies Conference,originals/SRC-CCCFFD4365.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,0ebf5e261d3f76312ce14339a70d1962ed86303ac7356817d7d1873c73567945
SRC-7DA66E226E,applsci-15-05663-v2.pdf,originals/SRC-7DA66E226E.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,7459aa050c5ecd0a30f99c6f5701742a16ba2463e672b1a5129a44739a9ebcfd
SRC-9CC11ECF41,Approximate Bilevel Difference Convex Programming for Bayesian Risk Markov Decision Processes,originals/SRC-9CC11ECF41.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,c62b1f8b04c1db8cd9cd13a0687e9d27e8ce2a61aa4f924d7ac165ba4ed2f375
SRC-81C66C1798,Artificial intelligence for enhancing resilience,originals/SRC-81C66C1798.pdf,πλήρης-αυτόματη-προς-έλεγχο,ολοκληρώθηκε,33,0,105583,όχι,καμία,81c66c179873e77291d54b99e8456a68a2fa86196fd6508221b43ead8900f512
SRC-486FAE4C93,Artificial Intelligence Risk Management Framework (AI RMF 1.0) NIST AI 100-1,originals/SRC-486FAE4C93.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,7576edb531d9848825814ee88e28b1795d3a84b435b4b797d3670eafdc4a89f1
SRC-0882A9B2B0,Assessing Generalization in Deep Reinforcement Learning,originals/SRC-0882A9B2B0.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,ff4d0be6608dc6f056521c49b95046651cc1630a805bb2b1030c0bd08c954763
SRC-41B78C510C,Autonomous Driving with Deep Reinforcement Learning in CARLA Simulation,originals/SRC-41B78C510C.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,112ee351c00ae7cc278db95d1af8a91b2c4f107b882b78a4f7117718b984a8ba
SRC-A62DDB9298,Avoiding Catastrophic Forgetting in Safety Gridworld ECE 517- Reinforcement Learning Final Project R,originals/SRC-A62DDB9298.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,df0edd0d415d7ca1c863debbe481dc94d64a6b48791476c83e382ff304386553
SRC-13B66B20D8,BALLOCH-DISSERTATION-2024.pdf,originals/SRC-13B66B20D8.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,dc1407487c55e642438dcb1db7f1f6c3f73f7926d24ebbc198500d44ea7869d6
SRC-3856071502,Bayesian Online Changepoint Detection,originals/SRC-3856071502.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,b88ebb53033d361fe4b1feeca819a1b39a17dfb29f694d6ac2b71ed6a9fcde6f
SRC-DBDFB80961,Bayesian Reinforcement Learning: A Survey,originals/SRC-DBDFB80961.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,bbc1dab717e8befce706c72d402c053417f6cff5b92d1f92f443767a1be8a931
SRC-4000D2B40A,Behaviour Suite for Reinforcement Learning,originals/SRC-4000D2B40A.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,f935d66d43474fd3ac56eb6a686b8d3db907a56a238aa500abe9bd3fd839b5d1
SRC-AFCB3FE8DF,Belief-Enriched Pessimistic Q-Learning against Adversarial State Perturbations,originals/SRC-AFCB3FE8DF.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,ed5c075d653463a9696c06e58071a8ba978255deb56c39bd72188e6de2bfcead
SRC-822FFD1EF7,BELIEF-ENRICHED PESSIMISTIC Q-LEARNING AGAINST ADVERSARIAL STATE PERTURBATIONS - ICLR Proceedings,originals/SRC-822FFD1EF7.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,d2994b2c28684dc88c7c3658fb5f5b5071a624a59905b8e5301f53c40863690d
SRC-19C2E91926,Benchmark for Out-of-Distribution Detection in Deep Reinforcement Learning,originals/SRC-19C2E91926.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,86e09ca0acb67e6bcdd2ec766e4302add4dd851c5b620b0a4e1a625446833a62
SRC-CDCEC02AAA,Benchmarking Batch Deep Reinforcement Learning Algorithms,originals/SRC-CDCEC02AAA.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,48b9eabdc407e37b3a2bed938a95eb8cf4da9a4b74cd7a0bef414efbc917b63f
SRC-CC5B34C28C,Best-Effort Policies for Robust Markov Decision Processes,originals/SRC-CC5B34C28C.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,f0df180b63ca99d809182742c82c5f3363e85b51f270c8beb39b35e25d37999e
SRC-F43D9994F4,Best-Effort Policies for Robust Markov Decision Processes,originals/SRC-F43D9994F4.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,411e0ca5a6b0527cb438c7ccef4c357ab310bc93b1a722965bfbe1294b82cb50
SRC-E41D012B99,Best-Effort Policies for Robust Markov Decision Processes,originals/SRC-E41D012B99.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,5241f9a26c173507d3e6152e84c6b9927736e4bf98bc0c64baaa6449c906b9cb
SRC-09DD20BA85,Bounded Robustness in Reinforcement Learning via Lexicographic Objectives,originals/SRC-09DD20BA85.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,200d5bf6a077abb58e0895b871933d46f354e03d249ef11c9a93e328fc520f37
SRC-EDCA7955BD,Bridging the Gap to Real-World Object-Centric Learning,originals/SRC-EDCA7955BD.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,cf4ce030bf8227a94fde14271869bf62426415bbba2249acefb60e21363f735e
SRC-3F84F52F97,CARL: A Benchmark for Contextual and Adaptive Reinforcement Learning,originals/SRC-3F84F52F97.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,4da928a9844f9f245d4258386cea84d5e8641d034171a2c029802007fcd6e1d8
SRC-56EDEC52D6,CARLA: An Open Urban Driving Simulator,originals/SRC-56EDEC52D6.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,b03673e878fe3cd4eecdb262346997bcc71c7201ebe676497f9b00a56f4b65fc
SRC-7AA9141602,Cognitive Architectures for Language Agents,originals/SRC-7AA9141602.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,fd93d2ef1b94f963b652136b8c792b01d7326d861f5ce918926c043934a48dbe
SRC-8396F66954,Concrete Problems in AI Safety,originals/SRC-8396F66954.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,a3ac7eda67026d6d95f2182b1202ac371b7d9feabcc10a48dc90e417fbac023e
SRC-D6F2B11A5D,"Concrete Problems in AI Safety, Revisited",originals/SRC-D6F2B11A5D.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,052e7bfbec7b0959b08cfa0def4d9dffdb63d3e9c57fd4d3b3674cf9a497d37e
SRC-DFF2EC4502,Constitutional AI: Harmlessness from AI Feedback,originals/SRC-DFF2EC4502.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,8ef9f223e89ff21f7bd87d55e88afd22128d927a7cbeecc5957b88cc0baf0ac3
SRC-D14764616F,Context-Switching and Adaptation- Brain-Inspired Mechanisms for Handling Environmental Changes - Uni,originals/SRC-D14764616F.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,ec8ca124603f9f28ea708bb4d36bd61b2ed46e81621d8d1db66c7b62ddbf9797
SRC-29B8223CEB,Creating an LLM-based AI-agent: A high-level methodology towards enhancing LLMs with APIs,originals/SRC-29B8223CEB.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,b7e9012eafa43057eff7f4f8df83b66259fba13bf664da178a96c9960e8e1c76
SRC-2CA4104ACF,Cross-Domain Transfer for Reinforcement Learning - UT Austin Computer Science,originals/SRC-2CA4104ACF.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,a64101e43c39af084a1fd8b57c894d5f23e2a35c691b52bad81bb9564ad1e339
SRC-87C9BF9456,Decision Making Under Uncertainty - Stanford University,originals/SRC-87C9BF9456.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,e12ff05553592678d3210a6789e04e87beda95710e889878b6f7d66cadabf89f
SRC-27B5CE6877,Decision-Making Under Uncertainty in Multi-Agent and Multi-Robot Systems- Planning and Learning - IJ,originals/SRC-27B5CE6877.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,5cfbda5b9965df5d9767c1acf0353741f2d0e4a6b5fe56cdef345d45517d61f8
SRC-0A4AFAC8E9,Deep Reinforcement Learning at the Edge of the Statistical Precipice,originals/SRC-0A4AFAC8E9.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,a6a5abb49e58a9e4a0be8556c8351ce8c3b52e70216bffc9fa80eac0823ec5ed
SRC-0490CF519D,Deep Reinforcement Learning for Autonomous Driving: A Survey,originals/SRC-0490CF519D.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,eebb94bd25b1ea9dda50cfa9dd43f42390aedb1428bbc954da32061c4336e4b4
SRC-95C9DAEE68,Deep reinforcement learning in non-stationary environments,originals/SRC-95C9DAEE68.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,698ec08dee31e72bcb38fbf53c71e3b0f132fab38180ce95d682ede00db73b56
SRC-BE53B7970E,Deep Reinforcement Learning with Double Q-learning,originals/SRC-BE53B7970E.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,a37336d7f35be5842740ef8e320bce03e725c03e56b7093afe98475c5c72e496
SRC-DDCD35F7EE,Deep Reinforcement Learning: An Overview,originals/SRC-DDCD35F7EE.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,b0bc463b9a90a437caaa6a3dfd527877aa7eea074fcb3cd54d5a2c8a81af2d8a
SRC-1E3C1CF3A7,Distributionally Robust Learning,originals/SRC-1E3C1CF3A7.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,2bd2d36f416dc7ce2ede050c983b52b2f772f7211cc28b9af1734174fbf411bc
SRC-F3F3FBE48F,Distributionally Robust Reinforcement Learning,originals/SRC-F3F3FBE48F.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,6e01db6b83a55f521d514c1a24f098de19c8bcca4deedf8a54db7e879371f0c0
SRC-055929F1C1,Distributionally Robust Reinforcement Learning with Human Feedback,originals/SRC-055929F1C1.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,0b06fdeb309b5d83455cb34532bd7de5f7bff3e97b3750071b89df77c8ca858c
SRC-8252722D46,Distributionally Robust Reinforcement Learning with Interactive Data Collection- Fundamental Hardnes,originals/SRC-8252722D46.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,8fd0daa7a01bc01b2e4751234327a36d61c7018dfdc0dcea9d228f8a6f991a84
SRC-4D2B7DDC38,Distributionally Robust Reinforcement Learning with Interactive Data Collection: Fundamental Hardness and Near-Optimal Algorithms,originals/SRC-4D2B7DDC38.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,59aee9090c4a53866e8d954b2d6ce6e88f6268efa39f9624a82a8ec0bea02786
SRC-E9D551F27C,Distributionally Robust Self Paced Curriculum Reinforcement Learning,originals/SRC-E9D551F27C.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,4e8bfde1f31bb979923979288280d0b404cc9ac1544cf0bf016c1014bbf481dc
SRC-93384F0217,Diversity is All You Need: Learning Skills without a Reward Function,originals/SRC-93384F0217.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,af9965836b917def393670da0258d76c31787076c19ad7cbf46a7a7eda510624
SRC-7C18826BEE,Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning,originals/SRC-7C18826BEE.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,dcebe17f1cef7d510900659c23d68038e5c6f9aaca2949f40bf91edd10566bca
SRC-8E12FE2688,Efficient Action Robust Reinforcement Learning with Probabilistic Policy Execution Uncertainty,originals/SRC-8E12FE2688.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,001af87ae379b304b7940137a911bd349138d8643d6f63495a8ce816643a4a0b
SRC-B88D51FA3F,Efficient Adaptation of Reinforcement Learning Agents to Sudden Environmental Change,originals/SRC-B88D51FA3F.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,d17d52e0dcee441b996dcb5acb76ddb8eb7b78cfd22a3fd58b732a483638cb3f
SRC-54E00B5A43,Efficient Policy Optimization in Robust Constrained MDPs with Iteration Complexity Guarantees,originals/SRC-54E00B5A43.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,fefaa7bb463b129f9d804c0579b983f73fa2199dfc70f32fc092f6374e9d9baa
SRC-2C9FFED27E,Efficient Policy Optimization in Robust Constrained MDPs with Iteration Complexity Guarantees - NIPS,originals/SRC-2C9FFED27E.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,cd0b6afc7996aa35a0361b961de174e7dd88405eb8934c239f064cad034f7741
SRC-49CA580DE9,Emergence in Multi-Agent Systems: A Safety Perspective,originals/SRC-49CA580DE9.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,491425764632b45b2b9a3a16bfead8684460d68d7e34c39cc8c5e12c07a70e9b
SRC-E05A14A571,Emergent Complexity and Zero-shot Transfer via Unsupervised Environment Design (PAIRED),originals/SRC-E05A14A571.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,06b29c20bada539ceac41556b78831f13ee296c4dccda8f2512dccd4b843624e
SRC-2CEF0D3E68,Enhanced POET: Open-Ended Reinforcement Learning through Unbounded Invention of Learning Challenges and their Solutions,originals/SRC-2CEF0D3E68.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,040a8ab58970d038947dcb9c93ffd1feb0e7d0844bb23f3707fb23445dea565b
